"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","2,360.95","2,352.29","2,364.12","2,340.17","","0.43%"
"05/27/2024","2,350.74","2,334.50","2,358.56","2,332.36","","0.73%"
"05/24/2024","2,333.76","2,328.40","2,347.54","2,325.40","","0.23%"
"05/23/2024","2,328.37","2,378.60","2,383.86","2,327.00","","-2.10%"
"05/22/2024","2,378.25","2,423.75","2,426.64","2,374.98","","-1.79%"
"05/21/2024","2,421.64","2,426.84","2,434.00","2,406.32","","-0.14%"
"05/20/2024","2,425.12","2,415.02","2,450.13","2,407.34","","0.42%"
"05/17/2024","2,414.89","2,376.81","2,422.87","2,373.96","","1.62%"
"05/16/2024","2,376.44","2,386.42","2,397.44","2,371.01","","-0.40%"
"05/15/2024","2,386.04","2,358.20","2,390.36","2,351.82","","1.19%"
"05/14/2024","2,357.97","2,338.20","2,359.83","2,334.55","","0.83%"
"05/13/2024","2,338.45","2,360.38","2,364.56","2,332.38","","-0.92%"
"05/10/2024","2,360.14","2,346.26","2,378.45","2,345.25","","0.61%"
"05/09/2024","2,345.88","2,309.04","2,347.59","2,306.67","","1.60%"
"05/08/2024","2,309.05","2,315.40","2,321.43","2,303.74","","-0.27%"
"05/07/2024","2,315.20","2,326.31","2,329.98","2,310.10","","-0.47%"
"05/06/2024","2,326.15","2,293.98","2,331.98","2,291.91","","1.07%"
"05/03/2024","2,301.56","2,303.20","2,321.64","2,277.47","","-0.08%"
"05/02/2024","2,303.29","2,319.89","2,326.57","2,285.58","","-0.63%"
"05/01/2024","2,317.88","2,285.91","2,328.40","2,281.66","","1.46%"
"04/30/2024","2,284.57","2,335.10","2,336.54","2,284.94","","-2.14%"
"04/29/2024","2,334.44","2,337.50","2,346.85","2,320.08","","-0.14%"
"04/26/2024","2,337.72","2,332.16","2,352.62","2,326.30","","0.25%"
"04/25/2024","2,331.78","2,316.20","2,344.86","2,305.28","","0.69%"
"04/24/2024","2,315.82","2,322.19","2,337.16","2,311.90","","-0.26%"
"04/23/2024","2,321.81","2,326.62","2,334.48","2,291.40","","-0.19%"
"04/22/2024","2,326.29","2,388.20","2,388.72","2,325.29","","-2.68%"
"04/19/2024","2,390.45","2,378.60","2,417.79","2,372.96","","0.51%"
"04/18/2024","2,378.25","2,360.74","2,392.84","2,360.70","","0.74%"
"04/17/2024","2,360.81","2,383.20","2,395.63","2,354.84","","-0.92%"
"04/16/2024","2,382.83","2,382.86","2,398.34","2,362.95","","0.01%"
"04/15/2024","2,382.51","2,343.86","2,387.59","2,324.59","","1.67%"
"04/12/2024","2,343.43","2,373.59","2,431.53","2,333.90","","-1.26%"
"04/11/2024","2,373.24","2,333.17","2,377.80","2,325.84","","1.73%"
"04/10/2024","2,332.79","2,352.91","2,360.15","2,319.54","","-0.84%"
"04/09/2024","2,352.58","2,339.24","2,365.34","2,336.94","","0.59%"
"04/08/2024","2,338.89","2,322.00","2,354.09","2,302.86","","0.40%"
"04/05/2024","2,329.50","2,289.88","2,330.34","2,267.85","","1.75%"
"04/04/2024","2,289.43","2,299.62","2,305.31","2,280.15","","-0.42%"
"04/03/2024","2,299.17","2,279.57","2,301.22","2,265.50","","0.84%"
"04/02/2024","2,280.10","2,250.88","2,281.17","2,246.79","","1.32%"
"04/01/2024","2,250.36","2,239.59","2,265.86","2,228.54","","0.81%"
"03/28/2024","2,232.38","2,194.19","2,235.90","2,187.33","","1.75%"
"03/27/2024","2,194.02","2,179.03","2,197.71","2,173.59","","0.71%"
"03/26/2024","2,178.58","2,171.82","2,200.15","2,167.75","","0.33%"
"03/25/2024","2,171.45","2,165.79","2,181.30","2,163.50","","0.34%"
"03/22/2024","2,164.15","2,181.50","2,186.25","2,157.15","","-0.76%"
"03/21/2024","2,180.81","2,186.00","2,222.90","2,166.50","","-0.24%"
"03/20/2024","2,185.96","2,158.29","2,188.90","2,149.60","","1.33%"
"03/19/2024","2,157.23","2,160.70","2,162.93","2,146.90","","-0.13%"
"03/18/2024","2,159.99","2,156.00","2,163.64","2,146.05","","0.21%"
"03/15/2024","2,155.54","2,162.40","2,173.25","2,155.19","","-0.25%"
"03/14/2024","2,161.01","2,174.29","2,177.10","2,152.86","","-0.62%"
"03/13/2024","2,174.40","2,158.25","2,179.91","2,155.54","","0.76%"
"03/12/2024","2,157.99","2,183.00","2,184.86","2,150.59","","-1.12%"
"03/11/2024","2,182.47","2,177.71","2,189.04","2,174.80","","0.23%"
"03/08/2024","2,177.51","2,159.40","2,195.20","2,154.08","","0.85%"
"03/07/2024","2,159.16","2,148.54","2,164.54","2,144.29","","0.51%"
